model,type,precision,recall,f1
phi3_cypress,finetuned,1.0,1.0,1.0
phi3_playwright,finetuned,1.0,1.0,1.0
gemma4_cypress,finetuned,0.8448,1.0,0.8690476190476191
phi3-mini-zeroshot_cypress,baseline,0.709852380952381,1.0,0.8237595238095239
gemma4-zeroshot_cypress,baseline,0.7538761904761905,0.9460238095238096,0.8180761904761905
gpt-4o-mini_cypress,baseline,0.6448904761904762,0.9619047619047618,0.7587690476190476
gemma4-zeroshot_playwright,baseline,0.7512809523809524,0.8158857142857143,0.7301547619047619
gemma4_playwright,finetuned,0.7182642857142857,0.6571571428571429,0.6630642857142857
phi3-mini-zeroshot_playwright,baseline,0.6285738095238095,0.6888761904761905,0.643145238095238
gpt-4o-mini_playwright,baseline,0.45697857142857146,0.7583333333333334,0.5468309523809524
claude-haiku-4-5_cypress,baseline,0.2548309523809524,1.0,0.40117619047619046
claude-haiku-4-5_playwright,baseline,0.2980904761904762,0.7174571428571428,0.3681904761904762
mistral-7b_cypress,baseline,0.0,0.0,0.0
mistral-7b_playwright,baseline,0.0,0.0,0.0
